name,id,salary_from,salary_to,experience,requirement,url
Программист Python,83512639,0,120000,От 1 года до 3 лет,Уверенное знание Pyton. Знание фреймворка Django. Опыт работы с MySQL. Умение работать с системами контроля версий git. Знание HTML/CSS...,https://hh.ru/
Инженер-оператор БПЛА,47013553,80000,120000,Без опыта,"Вакансия компании ООО ""ПРОМ КОМПОЗИТ""
ООО «Пром Композит» - компания, специализирующаяся на проектировании и производстве изделий из композиционных материалов горячим формованием и изготовлении оснастки, в том числе с применением метода вакуумной инфузии.
Компания является дочерним предприятием второго порядка АО «ВКО «Алмаз-Антей».
Серийная и опытная продукция ООО «Пром Композит» успешно применяется в различных областях народного хозяйства: радиоэлектронике, самолетостроении, кораблестроении, автомобилестроении и пр.
Обязанности:
- Управление, сборка, настройка БПЛА мультироторного типа.
Требования:
Базовые навыки:
- Уверенные навыки пилотирования БПЛА. В приоритете навыки и опыт работы с большими коммерческими дронами, построенными на базе ArduPilot, DJI и подобных экосистем;
- Знания общих принципов организации бортовой электроники (организация цепей питания, протоколы взаимодействия отдельных элементов системы, понимание азов электромагнитной совместимости, настройка полетного контроллера);
- Умение определять требования для отдельных компонентов БПЛА в зависимости от заданной грузоподъемности и полезной нагрузки;
- Базовые знания радиоэлектроники;
- Знание современных стандартов связи, используемых при построении БПЛА, умение грамотно расположить и настроить антенные системы на борту БПЛА и на земле;
- Способность понимать, учиться и разбираться, так как подразумевается работа с полетными контроллерами, оснащенными пользовательским программным обеспечением, находящимся в стадии отладки;
- Хорошие навыки радиомонтажа.
Плюсом будет:
- Опыт 3d-моделирования в САПР SolidWorks, Компас или иных САПР;
- Опыт 3d-печати, знание азов настройки и обслуживания 3d-принтеров;
- Навыки работы с командной строкой в Windows и Linux;
- Опыт работы с одноплатными компьютерами;
- Программирование на языках Python и C++ (работа с машинным зрением и сетевыми протоколами, разработка технологических графических интерфейсов) изделий.
Условия:
- Полный рабочий день, график работы с 9 до 18, перерыв на обед с 12 до 13;
- Работа на территории ЛЭМЗ (Лианозовский Электромеханический Завод);
- Испытательный срок - 2 месяца;
- Трудоустройство по ТК РФ.",https://www.superjob.ru/
Сетевой Инженер\Администратор сети ПД,46941423,70000,100000,От 1 года,"Обязанности: 
• Общение с клиентом, решение заявок клиентов по вопросу работы Интернет и каналов.
 
• Обеспечение своевременной диагностики и устранения неисправностей в сети.
 
• Поддержка актуальности схемы сети, настроек на сетевом оборудовании.
 
• Администрирование linux серверов.
 
• Мониторинг состояния и настройка сетевого оборудования, UPS (Cisco, D-Link, Huawei, Mikrotik, EATON, APC).
 
Требования: 
• Высшее техническое образование
 
• Уверенное знание компьютерных сетей: сети ethernet, Vlan, QinQ, L3, модели ISO/OSI (знание консоли cisco будет плюсом
 
• Уверенное знание Linux и его сервисов (Bind, Apache и так далее)
 
• Знание средств мониторинга сети и серверов на основе Linux, cacti
 
• Базовое программирование на bash, python, PHP
 
• Английский язык (технический)
 
Условия: 
• Работа в офисе, 5/2 с 8:00 до 16:30
 
• 
От 70000 рублей на руки, по результатам собеседования.
 
• Срочный договор: 3 мес. испытательный срок, далее бессрочный договор.
 
• ДМС после испытательный срока",https://www.superjob.ru/
"Back-end разработчик Python, Django",83152294,60000,90000,От 1 года до 3 лет,"Умение обучаться, задавать вопросы. Опыт разработки от 3-х лет. Опыт реальной разработки, возможность предоставить примеры кода в репозиториях. ",https://hh.ru/
Младший программист Python (отдел тестирования),80716553,0,80000,Нет опыта,"Знание ОС Linux на уровне уверенного пользователя. Опыт в разработке/сборке/отладке программ (Linux, python, владение инструментами отладки, инструментарий GNU...",https://hh.ru/
Учитель информатики,46584584,50000,70000,От 1 года,"Обязанности:
• Ведение уроков в 5-11 классе, подготовка к ОГЭ и ЕГЭ,оформление необходимой документации
Требования:
высшее профессиональное образование, опыт работы и наличие категории будет преимуществом.",https://www.superjob.ru/
"Программист Web, php, Python",46816401,50000,70000,От 1 года,"Условия:

• График работы – 5/2.
• Официальное трудоустройство.
• Возможность профессионального и карьерного роста.
Требования:

• Знание и понимание принципов работы OS Linux.
• Обязательный опыт работы с FastAPI, так как большая часть работы с ним, меньше с Django и DRF.
• Знание Python3, SQLAlchemy, Nginx, Docker, PostgreSQL, Git.
Обязанности:

• Разработка мобильных Web приложений.
• Необходимо базово настраивать VPS с Docker и Nginx.",https://www.superjob.ru/
Разработчик Python (Junior/Middle),83560177,40000,65000,От 1 года до 3 лет,Знания Python (Django). Понимание клиент-серверной архитектуры. Понимание принципов работы баз данных и SQL. Понимание микросервисной архитектуры. Знание системы управления...,https://hh.ru/
Педагог дополнительного образования,46547598,10000,50000,Без опыта,"• В школу 95 с 1 сентября 2023 года требуется педагог дополнительного образования с активной жизненной позицией.
Каким мы вас видим:
• заинтересованным в работе с детьми
• ответственным, исполнительным, целеустремленным
• с амбициями и стремлением к достижениям
Чем будете заниматься:
• проводить занятия кружка на выбор: программирование (Python, Tinkercad, Scratch), робототехника, прототипирование и т.д.
• готовить учащихся к участию к конкурсах, олимпиадах и проектах
• Что мы предлагаем:
• постоянную работу по трудовому договору с з/п до 50 тыс. руб;
• полную занятость с графиком 5/2
• стабильную официальную зп + стимулирующие выплаты;
• соцпакет
• бесплатное обучение и повышение квалификации
• Готовы рассмотреть и выпускников высших и средних учебных заведений, без опыта работы.",https://www.superjob.ru/
Программист Python (парсинг данных),83053963,0,40000,Более 6 лет,Уметь в парсинг на очень хорошем уровне (если вы обычно используете BS то скорее всего мы ищем не вас). ,https://hh.ru/
